#,VW,W,Artiest,Titel,Label,Distributeur,HP,fileDate
1,2,12,Jaap Reesema & Pommelien Thijs,Nu wij niet meerpraten,MOSTIKO,CNR,1,02_01_2021
2,1,9,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1,02_01_2021
3,3,21,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,1,02_01_2021
4,4,18,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2,02_01_2021
5,7,19,BTS,Dynamite,BIGHIT,SONY,5,02_01_2021
6,15,56,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1,02_01_2021
7,8,7,Regi & Camille,Vechter,DPG/INMEDIATEINT,CNR,7,02_01_2021
8,5,17,Tate McRae,You Broke Me First,RCA,SONY,4,02_01_2021
9,10,15,Rolf Sanchez,Más más más,TOP ACT,UNIVERSAL,8,02_01_2021
10,6,5,Tiësto,The Business,ATLANTIC,WARNER,6,02_01_2021
11,13,16,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,11,02_01_2021
12,35,2,The Kid Laroi,Without You,COLUMBIA,SONY,12,02_01_2021
13,30,25,Zoe Wees,Control,CAROLINE,UNIVERSAL,6,02_01_2021
14,16,9,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,14,02_01_2021
15,33,4,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,15,02_01_2021
16,24,26,Banners,Someone To You,ISLAND,UNIVERSAL,8,02_01_2021
17,12,7,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees& Toes,SPINNIN',WARNER,12,02_01_2021
18,11,10,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,6,02_01_2021
19,19,22,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),ELEKTRA,WARNER,1,02_01_2021
20,23,14,Regi & Camille,Vergeet de tijd,MOSTIKO,CNR,4,02_01_2021
21,18,15,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,8,02_01_2021
22,14,7,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,10,02_01_2021
23,25,8,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,14,02_01_2021
24,20,15,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,15,02_01_2021
25,17,13,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,14,02_01_2021
26,44,65,Tones And I,Dance Monkey,ELEKTRA,WARNER,1,02_01_2021
27,22,12,Bazart,Denk maar niet aanmorgen,DEBONAIR,PIAS,11,02_01_2021
28,NEW,1,Ed Sheeran,Afterglow,ATLANTIC,WARNER,28,02_01_2021
29,9,4,Lil Nas X,Holiday,COLUMBIA,SONY,9,02_01_2021
30,28,6,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,27,02_01_2021
31,32,13,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,18,02_01_2021
32,36,4,Dimitri Vegas & Like Mike x Armin van Buuren x BrennanHeart feat. Jeremy Oceans,Christmas Time,SMASH THEHOUSE,SMASH THEHOUSE,32,02_01_2021
33,29,7,Netsky & Hybrid Minds,Let Me Hold You,541/NEWS,NEWS,27,02_01_2021
34,21,19,Miley Cyrus,Midnight Sky,RCA,SONY,6,02_01_2021
35,26,10,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,14,02_01_2021
36,27,31,Harry Styles,Watermelon Sugar,COLUMBIA,SONY,2,02_01_2021
37,38,7,Harry Styles,Golden,COLUMBIA,SONY,37,02_01_2021
38,31,15,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade,CAROLINE,UNIVERSAL,13,02_01_2021
39,43,8,Milow,First Day Of My Life,HOMERUN,SONY,28,02_01_2021
40,37,13,Stan Van Samang,Don't Close Your Eyes,LIVEENTERTAINMENT,UNIVERSAL,28,02_01_2021
41,34,3,Noordkaap & Warmste Koor,Ik hou van u 2020,NOORDKAAP,NOORDKAAP,33,02_01_2021
42,NEW,1,Ava Max,Christmas Without You,ATLANTIC,WARNER,42,02_01_2021
43,41,15,James Bay,Chew On My Heart,REPUBLIC,UNIVERSAL,36,02_01_2021
44,42,9,5napback & Metejoor,Hoe kon ik zo dom zijn,MOSTIKO,CNR,27,02_01_2021
45,40,13,Pop Smoke,What You Know BoutLove,REPUBLIC,TOPNOTCH/UNIVERSAL,26,02_01_2021
46,47,28,Jawsh 685 & Jason Derulo,Savage Love (Laxed -Siren Beat),COLUMBIA,SONY,1,02_01_2021
47,39,10,Keith Urban with P!nk,One Too Many,CAPITOL,UNIVERSAL,26,02_01_2021
48,NEW,1,Nothing But Thieves,Impossible,RCA,SONY,48,02_01_2021
49,46,7,James Arthur,Train Wreck,COLUMBIA,SONY,41,02_01_2021
50,RE,48,Lewis Capaldi,Before You Go,VERTIGO,UNIVERSAL,2,02_01_2021
1,2,5,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1,05_12_2020
2,4,8,Jaap Reesema & Pommelien Thijs,Nu wij niet meerpraten,MOSTIKO,CNR,2,05_12_2020
3,1,17,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,1,05_12_2020
4,3,14,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2,05_12_2020
5,5,13,Tate McRae,You Broke Me First,RCA,SONY,4,05_12_2020
6,10,6,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,6,05_12_2020
7,7,10,Regi & Camille,Vergeet de tijd,MOSTIKO,CNR,4,05_12_2020
8,6,15,BTS,Dynamite,BIGHIT,SONY,6,05_12_2020
9,13,15,Miley Cyrus,Midnight Sky,RCA,SONY,6,05_12_2020
10,15,18,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),ELEKTRA,WARNER,1,05_12_2020
11,12,3,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,11,05_12_2020
12,8,11,Rolf Sanchez,Más más más,TOP ACT,UNIVERSAL,8,05_12_2020
13,11,3,Regi & Camille,Vechter,DPG/INMEDIATEINT,CNR,11,05_12_2020
14,24,4,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,14,05_12_2020
15,17,11,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,15,05_12_2020
16,21,8,Bazart,Denk maar niet aanmorgen,DEBONAIR,PIAS,16,05_12_2020
17,9,11,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,8,05_12_2020
18,16,12,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,11,05_12_2020
19,14,6,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,14,05_12_2020
20,19,9,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,17,05_12_2020
21,26,52,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1,05_12_2020
22,22,11,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade,CAROLINE,UNIVERSAL,13,05_12_2020
23,18,9,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,18,05_12_2020
24,35,24,Ava Max,Kings & Queens,ATLANTIC,WARNER,4,05_12_2020
25,23,5,Ava Max,Who's LaughingNow?,ATLANTIC,WARNER,23,05_12_2020
26,20,21,Zoe Wees,Control,CAROLINE,UNIVERSAL,6,05_12_2020
27,27,22,Banners,Someone To You,ISLAND,UNIVERSAL,8,05_12_2020
28,32,2,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,28,05_12_2020
29,28,9,Stan Van Samang,Don't Close Your Eyes,LIVEENTERTAINMENT,UNIVERSAL,28,05_12_2020
30,40,3,Ofenbach & Quarterhead feat. Norma Jean Martine,Head ShouldersKnees & Toes,SPINNIN',WARNER,30,05_12_2020
31,39,3,Netsky & Hybrid Minds,Let Me Hold You,541/NEWS,NEWS,31,05_12_2020
32,34,36,Topic feat. A7S,Breaking Me,VIRGIN,UNIVERSAL,3,05_12_2020
33,36,11,Justin Bieber feat. Chance The Rapper,Holy,DEF JAM,UNIVERSAL,19,05_12_2020
34,30,4,Milow,First Day Of My Life,HOMERUN,SONY,28,05_12_2020
35,46,2,Shawn Mendes / Justin Bieber,Monster,ISLAND,UNIVERSAL,35,05_12_2020
36,37,4,Liefde Voor Muziek voor Rode Neuzen Dag,Porselein,DPG/INMEDIATEINT,CNR,32,05_12_2020
37,31,9,Pop Smoke,What You Know BoutLove,REPUBLIC,TOPNOTCH/UNIVERSAL,26,05_12_2020
38,25,27,Harry Styles,Watermelon Sugar,COLUMBIA,SONY,2,05_12_2020
39,33,6,Keith Urban with P!nk,One Too Many,CAPITOL,UNIVERSAL,31,05_12_2020
40,NEW,1,Tiësto,The Business,ATLANTIC,WARNER,40,05_12_2020
41,29,5,5napback & Metejoor,Hoe kon ik zo domzijn,MOSTIKO,CNR,27,05_12_2020
42,48,3,Harry Styles,Golden,COLUMBIA,SONY,42,05_12_2020
43,41,4,James Arthur,Train Wreck,COLUMBIA,SONY,41,05_12_2020
44,50,16,Taylor Swift feat. Bon Iver,Exile,REPUBLIC,UNIVERSAL,37,05_12_2020
45,38,12,Kygo x Tina Turner,What's Love Got ToDo With It,SONY,SONY,12,05_12_2020
46,45,11,James Bay,Chew On My Heart,REPUBLIC,UNIVERSAL,36,05_12_2020
47,NEW,1,Sandra Kim,Who Are You (DeKoningin),MOSTIKO,CNR,47,05_12_2020
48,NEW,1,Dimitri Vegas & Like Mike x Armin van Buuren x BrennanHeart feat. Jeremy Oceans,Christmas Time,SMASH THEHOUSE,SMASH THEHOUSE,48,05_12_2020
49,RE,61,Tones And I,Dance Monkey,ELEKTRA,WARNER,1,05_12_2020
50,NEW,1,Hooverphonic,Mad About You 2020,UNIVERSAL,UNIVERSAL,50,05_12_2020
1,1,4,Olivia Rodrigo,Drivers License,GEFFEN,UNIVERSAL,1,06_02_2021
2,4,7,The Kid Laroi,Without You,COLUMBIA,SONY,2,06_02_2021
3,5,14,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1,06_02_2021
4,2,10,Tiësto,The Business,ATLANTIC,WARNER,2,06_02_2021
5,3,17,Jaap Reesema & Pommelien Thijs,Nu wij niet meer praten,MOSTIKO,CNR,1,06_02_2021
6,16,4,The Weeknd,Save Your Tears,REPUBLIC,UNIVERSAL,6,06_02_2021
7,9,12,Ofenbach & Quarterhead feat. Norma JeanMartine,Head Shoulders Knees & Toes,SPINNIN',SPINNIN',7,06_02_2021
8,7,26,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,1,06_02_2021
9,11,14,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,8,06_02_2021
10,15,17,Bazart,Denk maar niet aan morgen,DEBONAIR,PIAS,10,06_02_2021
11,10,9,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,10,06_02_2021
12,13,12,Netsky & Hybrid Minds,Let Me Hold You,541/NEWS,NEWS,12,06_02_2021
13,12,22,Tate McRae,You Broke Me First,RCA,SONY,4,06_02_2021
14,6,6,Ed Sheeran,Afterglow,ATLANTIC,WARNER,5,06_02_2021
15,14,24,BTS,Dynamite,BIGHIT,SONY,5,06_02_2021
16,8,23,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2,06_02_2021
17,27,3,HVME,Goosebumps,B1,SONY,17,06_02_2021
18,19,13,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,14,06_02_2021
19,21,5,Justin Bieber,Anyone,DEF JAM,UNIVERSAL,19,06_02_2021
20,22,4,Robin Schulz feat. Kiddo,All We Got,WARNER,WARNER,20,06_02_2021
21,30,4,Shane Codd,Get Out My Head,POLYDOR,UNIVERSAL,21,06_02_2021
22,23,21,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,11,06_02_2021
23,24,6,Jason Derulo x Nuka,Love Not War (The TampaBeat),ROBOTS & HUMANS,SONY,23,06_02_2021
24,17,12,Regi & Camille,Vechter,DPG/INMEDIATE INT,CNR,7,06_02_2021
25,34,3,Sheppard,Learning To Fly,DECCA,UNIVERSAL,25,06_02_2021
26,18,24,Miley Cyrus,Midnight Sky,RCA,SONY,6,06_02_2021
27,25,15,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,6,06_02_2021
28,29,18,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,14,06_02_2021
29,26,9,Lil Nas X,Holiday,COLUMBIA,SONY,9,06_02_2021
30,20,20,Rolf Sanchez,Más más más,TOP ACT,UNIVERSAL,8,06_02_2021
31,31,12,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,10,06_02_2021
32,32,31,Banners,Someone To You,ISLAND,UNIVERSAL,8,06_02_2021
33,28,20,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,8,06_02_2021
34,33,20,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,15,06_02_2021
35,37,2,atb x Topic x A7S,Your Love (9PM),RIDE,RIDE,35,06_02_2021
36,38,19,Regi & Camille,Vergeet de tijd,MOSTIKO,CNR,4,06_02_2021
37,35,61,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1,06_02_2021
38,45,3,Purple Disco Machine & Sophie And The Giants,Hypnotized,COLUMBIA,SONY,38,06_02_2021
39,42,15,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,14,06_02_2021
40,NEW,1,Metejoor feat. Babet,1 op een miljoen,FRUITY,CNR,40,06_02_2021
41,41,5,Taylor Swift,Willow,REPUBLIC,UNIVERSAL,40,06_02_2021
42,36,11,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,27,06_02_2021
43,NEW,1,Stan Van Samang,Snow,LIVEENTERTAINMENT,UNIVERSAL,43,06_02_2021
44,NEW,1,Celeste [UK],Love Is Back,POLYDOR,UNIVERSAL,44,06_02_2021
45,40,36,Harry Styles,Watermelon Sugar,COLUMBIA,SONY,2,06_02_2021
46,RE,4,Nothing But Thieves,Impossible,RCA,SONY,45,06_02_2021
47,NEW,1,Maude [BE],Dance You Off,MOSTIKO,CNR,47,06_02_2021
48,39,27,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),ELEKTRA,WARNER,1,06_02_2021
49,46,11,James Arthur,Train Wreck,COLUMBIA,SONY,41,06_02_2021
50,NEW,1,Sabien Tiels feat. Westelinck,Als jij het niet meer weet,VLNL,CRICKET HILL,50,06_02_2021
1,4,8,The Weeknd,Save Your Tears,REPUBLIC,UNIVERSAL,1,06_03_2021
2,2,11,The Kid Laroi,Without You,COLUMBIA,SONY,2,06_03_2021
3,5,14,Tiësto,The Business,ATLANTIC,WARNER,2,06_03_2021
4,3,4,Nathan Evans,Wellerman,POLYDOR,UNIVERSAL,3,06_03_2021
5,1,8,Olivia Rodrigo,Drivers License,GEFFEN,UNIVERSAL,1,06_03_2021
6,7,21,Jaap Reesema & Pommelien Thijs,Nu wij niet meer praten,MOSTIKO,CNR,1,06_03_2021
7,18,2,Riton x Nightcrawlers feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit),MINISTRY OF SOUND,SONY,7,06_03_2021
8,8,5,Metejoor feat. Babet,1 op een miljoen,FRUITY,CNR,8,06_03_2021
9,6,18,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1,06_03_2021
10,9,10,Ed Sheeran,Afterglow,ATLANTIC,WARNER,5,06_03_2021
11,10,13,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,10,06_03_2021
12,13,8,Robin Schulz feat. Kiddo,All We Got,WARNER,WARNER,12,06_03_2021
13,12,16,Ofenbach & Quarterhead feat. Norma JeanMartine,Head Shoulders Knees & Toes,SPINNIN',SPINNIN',7,06_03_2021
14,11,30,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,1,06_03_2021
15,17,10,Jason Derulo x Nuka,Love Not War (The TampaBeat),ROBOTS & HUMANS,SONY,15,06_03_2021
16,15,9,Justin Bieber,Anyone,DEF JAM,UNIVERSAL,15,06_03_2021
17,27,6,atb x Topic x A7S,Your Love (9PM),RIDE,RIDE,17,06_03_2021
18,24,8,Shane Codd,Get Out My Head,POLYDOR,UNIVERSAL,16,06_03_2021
19,26,7,Purple Disco Machine & Sophie And The Giants,Hypnotized,COLUMBIA,SONY,19,06_03_2021
20,14,7,HVME,Goosebumps,B1,SONY,14,06_03_2021
21,30,7,Sheppard,Learning To Fly,DECCA,UNIVERSAL,21,06_03_2021
22,50,2,Cleymans & Van Geel,En route,DPG/INMEDIATE INT,CNR,22,06_03_2021
23,19,21,Bazart,Denk maar niet aan morgen,DEBONAIR,PIAS,8,06_03_2021
24,16,16,Regi & Camille,Vechter,DPG/INMEDIATE INT,CNR,7,06_03_2021
25,20,16,Netsky & Hybrid Minds,Let Me Hold You,541/NEWS,NEWS,12,06_03_2021
26,21,26,Tate McRae,You Broke Me First,RCA,SONY,4,06_03_2021
27,28,28,BTS,Dynamite,BIGHIT,SONY,5,06_03_2021
28,22,27,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2,06_03_2021
29,29,65,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1,06_03_2021
30,23,17,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,13,06_03_2021
31,32,25,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,11,06_03_2021
32,45,5,Maude [BE],Dance You Off,MOSTIKO,CNR,31,06_03_2021
33,25,18,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,8,06_03_2021
34,34,35,Banners,Someone To You,ISLAND,UNIVERSAL,8,06_03_2021
35,40,2,Tom Grennan,Little Bit Of Love,INSANITY,SONY,35,06_03_2021
36,47,4,Sara Kays,Remember That Night?,ATLANTIC,WARNER,36,06_03_2021
37,31,22,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,14,06_03_2021
38,NEW,1,P!nk + Willow Sage Hart,Cover Me In Sunshine,RCA,SONY,38,06_03_2021
39,38,16,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,10,06_03_2021
40,36,3,Dua Lipa,We're Good,WARNER,WARNER,36,06_03_2021
41,41,3,Zoe Wees,Girls Like Us,CAPITOL,UNIVERSAL,41,06_03_2021
42,44,4,Celeste [UK],Love Is Back,POLYDOR,UNIVERSAL,40,06_03_2021
43,37,3,JC Stewart,Break My Heart,WARNER,WARNER,37,06_03_2021
44,42,5,Stan Van Samang,Snow,LIVEENTERTAINMENT,UNIVERSAL,39,06_03_2021
45,49,2,Lil Tjay feat. 6lack,Calling My Phone,COLUMBIA,SONY,45,06_03_2021
46,33,13,Lil Nas X,Holiday,COLUMBIA,SONY,9,06_03_2021
47,NEW,1,Masked Wolf,Astronaut In The Ocean,ELEKTRA,WARNER,47,06_03_2021
48,46,28,Miley Cyrus,Midnight Sky,RCA,SONY,6,06_03_2021
49,43,19,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,6,06_03_2021
50,35,15,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,27,06_03_2021
1,2,10,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1,09_01_2021
2,4,19,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2,09_01_2021
3,1,13,Jaap Reesema & Pommelien Thijs,Nu wij niet meer praten,MOSTIKO,CNR,1,09_01_2021
4,3,22,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,1,09_01_2021
5,10,6,Tiësto,The Business,ATLANTIC,WARNER,5,09_01_2021
6,8,18,Tate McRae,You Broke Me First,RCA,SONY,4,09_01_2021
7,28,2,Ed Sheeran,Afterglow,ATLANTIC,WARNER,7,09_01_2021
8,5,20,BTS,Dynamite,BIGHIT,SONY,5,09_01_2021
9,7,8,Regi & Camille,Vechter,DPG/INMEDIATEINT,CNR,7,09_01_2021
10,19,23,Master KG feat. Burna Boy & NomceboZikode,Jerusalema (Remix),ELEKTRA,WARNER,1,09_01_2021
11,6,57,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1,09_01_2021
