#,VW,W,Artiest,Titel,Label,Distributeur,HP,fileDate
25,23,6,Lil Nas X,Holiday,COLUMBIA,SONY,9,16_01_2021
26,11,58,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1,16_01_2021
27,28,15,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,14,16_01_2021
28,10,24,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),ELEKTRA,WARNER,1,16_01_2021
29,18,10,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,14,16_01_2021
30,39,11,5napback & Metejoor,Hoe kon ik zo dom zijn,MOSTIKO,CNR,27,16_01_2021
31,29,28,Banners,Someone To You,ISLAND,UNIVERSAL,8,16_01_2021
32,27,12,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,14,16_01_2021
33,NEW,1,Shane Codd,Get Out My Head,POLYDOR,UNIVERSAL,33,16_01_2021
34,26,16,Regi & Camille,Vergeet de tijd,MOSTIKO,CNR,4,16_01_2021
35,30,8,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,27,16_01_2021
36,NEW,1,The Weeknd,Save Your Tears,REPUBLIC,UNIVERSAL,36,16_01_2021
37,32,33,Harry Styles,Watermelon Sugar,COLUMBIA,SONY,2,16_01_2021
38,33,15,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,18,16_01_2021
39,37,27,Zoe Wees,Control,CAROLINE,UNIVERSAL,6,16_01_2021
40,46,2,Taylor Swift,Willow,REPUBLIC,UNIVERSAL,40,16_01_2021
41,NEW,1,Robin Schulz feat. Kiddo,All We Got,WARNER,WARNER,41,16_01_2021
42,44,3,Jason Derulo x Nuka,Love Not War (The TampaBeat),ROBOTS & HUMANS,SONY,42,16_01_2021
43,35,17,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade,CAROLINE,UNIVERSAL,13,16_01_2021
44,41,10,Milow,First Day Of My Life,HOMERUN,SONY,28,16_01_2021
45,47,3,Nothing But Thieves,Impossible,RCA,SONY,45,16_01_2021
46,38,67,Tones And I,Dance Monkey,ELEKTRA,WARNER,1,16_01_2021
47,48,17,James Bay,Chew On My Heart,REPUBLIC,UNIVERSAL,36,16_01_2021
48,40,12,Keith Urban with P!nk,One Too Many,CAPITOL,UNIVERSAL,26,16_01_2021
49,RE,3,Lucas & Steve feat. Alida,Another Life,541/NEWS,NEWS,45,16_01_2021
50,RE,6,Shawn Mendes / Justin Bieber,Monster,ISLAND,UNIVERSAL,35,16_01_2021
1,1,7,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1,19_12_2020
2,3,10,Jaap Reesema & Pommelien Thijs,Nu wij niet meerpraten,MOSTIKO,CNR,2,19_12_2020
3,2,19,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,1,19_12_2020
4,5,16,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2,19_12_2020
5,4,15,Tate McRae,You Broke Me First,RCA,SONY,4,19_12_2020
6,6,8,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,6,19_12_2020
7,7,5,Regi & Camille,Vechter,DPG/INMEDIATEINT,CNR,7,19_12_2020
8,15,17,BTS,Dynamite,BIGHIT,SONY,6,19_12_2020
9,17,13,Rolf Sanchez,Más más más,TOP ACT,UNIVERSAL,8,19_12_2020
10,10,5,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,10,19_12_2020
11,13,54,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1,19_12_2020
12,25,13,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,8,19_12_2020
13,11,10,Bazart,Denk maar niet aanmorgen,DEBONAIR,PIAS,11,19_12_2020
14,20,7,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,14,19_12_2020
15,9,17,Miley Cyrus,Midnight Sky,RCA,SONY,6,19_12_2020
16,32,3,Tiësto,The Business,ATLANTIC,WARNER,16,19_12_2020
17,12,14,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,11,19_12_2020
18,16,13,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,15,19_12_2020
19,14,11,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,14,19_12_2020
20,42,2,Lil Nas X,Holiday,COLUMBIA,SONY,20,19_12_2020
21,8,12,Regi & Camille,Vergeet de tijd,MOSTIKO,CNR,4,19_12_2020
22,18,20,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),ELEKTRA,WARNER,1,19_12_2020
23,23,5,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees& Toes,SPINNIN',WARNER,23,19_12_2020
24,22,24,Banners,Someone To You,ISLAND,UNIVERSAL,8,19_12_2020
25,21,8,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,14,19_12_2020
26,28,11,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,18,19_12_2020
27,40,4,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,27,19_12_2020
28,38,2,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,28,19_12_2020
29,30,13,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade,CAROLINE,UNIVERSAL,13,19_12_2020
30,27,5,Netsky & Hybrid Minds,Let Me Hold You,541/NEWS,NEWS,27,19_12_2020
31,24,6,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,14,19_12_2020
32,44,11,Pop Smoke,What You Know BoutLove,REPUBLIC,TOPNOTCH/UNIVERSAL,26,19_12_2020
33,NEW,1,Noordkaap & Warmste Koor,Ik hou van u 2020,NOORDKAAP,NOORDKAAP,33,19_12_2020
34,19,29,Harry Styles,Watermelon Sugar,COLUMBIA,SONY,2,19_12_2020
35,36,23,Zoe Wees,Control,CAROLINE,UNIVERSAL,6,19_12_2020
36,43,7,5napback & Metejoor,Hoe kon ik zo dom zijn,MOSTIKO,CNR,27,19_12_2020
37,RE,2,Dimitri Vegas & Like Mike x Armin van Buuren x BrennanHeart feat. Jeremy Oceans,Christmas Time,SMASH THEHOUSE,SMASH THEHOUSE,37,19_12_2020
38,45,13,Justin Bieber feat. Chance The Rapper,Holy,DEF JAM,UNIVERSAL,19,19_12_2020
39,39,4,Shawn Mendes / Justin Bieber,Monster,ISLAND,UNIVERSAL,35,19_12_2020
40,26,8,Keith Urban with P!nk,One Too Many,CAPITOL,UNIVERSAL,26,19_12_2020
41,34,6,Milow,First Day Of My Life,HOMERUN,SONY,28,19_12_2020
42,41,5,Harry Styles,Golden,COLUMBIA,SONY,41,19_12_2020
43,RE,17,Taylor Swift feat. Bon Iver,Exile,REPUBLIC,UNIVERSAL,37,19_12_2020
44,RE,5,James Arthur,Train Wreck,COLUMBIA,SONY,41,19_12_2020
45,46,13,James Bay,Chew On My Heart,REPUBLIC,UNIVERSAL,36,19_12_2020
46,NEW,1,CJ,Whoopty,CJ,WARNER,46,19_12_2020
47,29,11,Stan Van Samang,Don't Close Your Eyes,LIVEENTERTAINMENT,UNIVERSAL,28,19_12_2020
48,NEW,1,Lucas & Steve feat. Alida,Another Life,541/NEWS,NEWS,48,19_12_2020
49,47,26,Jawsh 685 & Jason Derulo,Savage Love (Laxed -Siren Beat),COLUMBIA,SONY,1,19_12_2020
50,33,63,Tones And I,Dance Monkey,ELEKTRA,WARNER,1,19_12_2020
1,1,6,Olivia Rodrigo,Drivers License,GEFFEN,UNIVERSAL,1,20_02_2021
2,4,12,Tiësto,The Business,ATLANTIC,WARNER,2,20_02_2021
3,3,16,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1,20_02_2021
4,5,9,The Kid Laroi,Without You,COLUMBIA,SONY,2,20_02_2021
5,6,6,The Weeknd,Save Your Tears,REPUBLIC,UNIVERSAL,5,20_02_2021
6,2,19,Jaap Reesema & Pommelien Thijs,Nu wij niet meer praten,MOSTIKO,CNR,1,20_02_2021
7,9,8,Ed Sheeran,Afterglow,ATLANTIC,WARNER,5,20_02_2021
8,36,2,Nathan Evans,Wellerman,POLYDOR,UNIVERSAL,8,20_02_2021
9,11,14,Ofenbach & Quarterhead feat. Norma JeanMartine,Head Shoulders Knees & Toes,SPINNIN',SPINNIN',7,20_02_2021
10,10,11,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,10,20_02_2021
11,7,28,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,1,20_02_2021
12,8,19,Bazart,Denk maar niet aan morgen,DEBONAIR,PIAS,8,20_02_2021
13,20,15,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,13,20_02_2021
14,14,6,Robin Schulz feat. Kiddo,All We Got,WARNER,WARNER,14,20_02_2021
15,13,14,Netsky & Hybrid Minds,Let Me Hold You,541/NEWS,NEWS,12,20_02_2021
16,17,5,HVME,Goosebumps,B1,SONY,16,20_02_2021
17,19,14,Regi & Camille,Vechter,DPG/INMEDIATE INT,CNR,7,20_02_2021
18,21,24,Tate McRae,You Broke Me First,RCA,SONY,4,20_02_2021
19,16,6,Shane Codd,Get Out My Head,POLYDOR,UNIVERSAL,16,20_02_2021
20,22,7,Justin Bieber,Anyone,DEF JAM,UNIVERSAL,19,20_02_2021
21,15,25,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2,20_02_2021
22,38,4,atb x Topic x A7S,Your Love (9PM),RIDE,RIDE,22,20_02_2021
23,28,23,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,11,20_02_2021
24,12,16,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,8,20_02_2021
25,26,3,Metejoor feat. Babet,1 op een miljoen,FRUITY,CNR,25,20_02_2021
26,23,8,Jason Derulo x Nuka,Love Not War (The TampaBeat),ROBOTS & HUMANS,SONY,23,20_02_2021
27,18,26,BTS,Dynamite,BIGHIT,SONY,5,20_02_2021
28,34,20,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,14,20_02_2021
29,35,5,Sheppard,Learning To Fly,DECCA,UNIVERSAL,25,20_02_2021
30,33,63,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1,20_02_2021
31,30,5,Purple Disco Machine & Sophie And The Giants,Hypnotized,COLUMBIA,SONY,30,20_02_2021
32,29,33,Banners,Someone To You,ISLAND,UNIVERSAL,8,20_02_2021
33,37,22,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,8,20_02_2021
34,27,14,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,10,20_02_2021
35,41,13,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,27,20_02_2021
36,32,17,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,6,20_02_2021
37,31,3,Maude [BE],Dance You Off,MOSTIKO,CNR,31,20_02_2021
38,25,11,Lil Nas X,Holiday,COLUMBIA,SONY,9,20_02_2021
39,45,3,Stan Van Samang,Snow,LIVEENTERTAINMENT,UNIVERSAL,39,20_02_2021
40,RE,2,Celeste [UK],Love Is Back,POLYDOR,UNIVERSAL,40,20_02_2021
41,39,22,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,15,20_02_2021
42,50,2,Sara Kays,Remember That Night?,ATLANTIC,WARNER,42,20_02_2021
43,24,26,Miley Cyrus,Midnight Sky,RCA,SONY,6,20_02_2021
44,49,38,Harry Styles,Watermelon Sugar,COLUMBIA,SONY,2,20_02_2021
45,47,29,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),ELEKTRA,WARNER,1,20_02_2021
46,NEW,1,Dua Lipa,We're Good,WARNER,WARNER,46,20_02_2021
47,NEW,1,JC Stewart,Break My Heart,WARNER,WARNER,47,20_02_2021
48,43,7,Taylor Swift,Willow,REPUBLIC,UNIVERSAL,40,20_02_2021
49,40,21,Regi & Camille,Vergeet de tijd,MOSTIKO,CNR,4,20_02_2021
50,NEW,1,Harry Styles,Treat People With Kindness,COLUMBIA,SONY,50,20_02_2021
1,1,3,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1,21_11_2020
2,2,15,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,1,21_11_2020
3,7,6,Jaap Reesema & Pommelien Thijs,Nu wij niet meer praten,MOSTIKO,CNR,3,21_11_2020
4,3,12,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2,21_11_2020
5,4,11,Tate McRae,You Broke Me First,RCA,SONY,4,21_11_2020
6,5,8,Regi & Camille,Vergeet de tijd,MOSTIKO,CNR,4,21_11_2020
7,6,13,Miley Cyrus,Midnight Sky,RCA,SONY,6,21_11_2020
8,9,13,BTS,Dynamite,BIGHIT,SONY,7,21_11_2020
9,14,9,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,8,21_11_2020
10,10,19,Zoe Wees,Control,CAROLINE,UNIVERSAL,6,21_11_2020
11,13,9,Rolf Sanchez,Más más más,TOP ACT,UNIVERSAL,10,21_11_2020
12,8,16,Master KG feat. Burna Boy & NomceboZikode,Jerusalema (Remix),ELEKTRA,WARNER,1,21_11_2020
13,NEW,1,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,13,21_11_2020
14,11,10,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,11,21_11_2020
15,15,4,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,15,21_11_2020
16,21,9,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,16,21_11_2020
17,20,4,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,17,21_11_2020
18,16,9,Internet Money & Gunna feat. Don Toliver &Nav,Lemonade,CAROLINE,UNIVERSAL,13,21_11_2020
19,12,20,Banners,Someone To You,ISLAND,UNIVERSAL,8,21_11_2020
20,22,7,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,17,21_11_2020
21,25,2,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,21,21_11_2020
22,17,6,Bazart,Denk maar niet aan morgen,DEBONAIR,PIAS,17,21_11_2020
23,23,10,Kygo x Tina Turner,What's Love Got To Do With It,SONY,SONY,12,21_11_2020
24,24,50,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1,21_11_2020
25,27,7,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,25,21_11_2020
26,NEW,1,Regi & Camille,Vechter,DPG/INMEDIATEINT,CNR,26,21_11_2020
27,26,22,Ava Max,Kings & Queens,ATLANTIC,WARNER,4,21_11_2020
28,44,2,Milow,First Day Of My Life,HOMERUN,SONY,28,21_11_2020
29,18,25,Harry Styles,Watermelon Sugar,COLUMBIA,SONY,2,21_11_2020
30,19,9,Justin Bieber feat. Chance The Rapper,Holy,DEF JAM,UNIVERSAL,19,21_11_2020
31,34,4,Keith Urban with P!nk,One Too Many,CAPITOL,UNIVERSAL,31,21_11_2020
32,50,2,Liefde Voor Muziek voor Rode Neuzen Dag,Porselein,DPG/INMEDIATEINT,CNR,32,21_11_2020
33,32,7,Pop Smoke,What You Know Bout Love,REPUBLIC,TOPNOTCH/UNIVERSAL,26,21_11_2020
34,28,34,Topic feat. A7S,Breaking Me,VIRGIN,UNIVERSAL,3,21_11_2020
35,33,3,5napback & Metejoor,Hoe kon ik zo dom zijn,MOSTIKO,CNR,27,21_11_2020
36,29,23,Jawsh 685 & Jason Derulo,Savage Love (Laxed - SirenBeat),COLUMBIA,SONY,1,21_11_2020
37,31,17,Aya Nakamura,Jolie nana,REC. 118,WARNER,8,21_11_2020
38,36,7,Stan Van Samang,Don't Close Your Eyes,LIVEENTERTAINMENT,UNIVERSAL,36,21_11_2020
39,39,3,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,39,21_11_2020
40,30,13,Suzan & Freek / Snelle,De overkant,SONY/CLOUD 9,SONY,11,21_11_2020
41,NEW,1,Ofenbach & Quarterhead feat. Norma JeanMartine,Head Shoulders Knees & Toes,SPINNIN',WARNER,41,21_11_2020
42,35,23,Ray Dalton,In My Bones,EPIC,SONY,13,21_11_2020
43,37,9,James Bay,Chew On My Heart,REPUBLIC,UNIVERSAL,36,21_11_2020
44,41,6,Dua Lipa feat. DaBaby,Levitating,WARNER,WARNER,32,21_11_2020
45,47,2,James Arthur,Train Wreck,COLUMBIA,SONY,45,21_11_2020
46,NEW,1,Harry Styles,Golden,COLUMBIA,SONY,46,21_11_2020
47,46,14,Taylor Swift feat. Bon Iver,Exile,REPUBLIC,UNIVERSAL,37,21_11_2020
48,NEW,1,Netsky & Hybrid Minds,Let Me Hold You,541/NEWS,NEWS,48,21_11_2020
49,38,13,Cardi B feat. Megan Thee Stallion,WAP,ATLANTIC,WARNER,14,21_11_2020
50,42,7,Celeste [UK],Little Runaway,POLYDOR,UNIVERSAL,42,21_11_2020
1,23,2,Olivia Rodrigo,Drivers License,GEFFEN,UNIVERSAL,1,23_01_2021
2,1,12,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1,23_01_2021
3,2,15,Jaap Reesema & Pommelien Thijs,Nu wij niet meer praten,MOSTIKO,CNR,1,23_01_2021
4,3,8,Tiësto,The Business,ATLANTIC,WARNER,3,23_01_2021
5,6,5,The Kid Laroi,Without You,COLUMBIA,SONY,5,23_01_2021
6,4,24,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,1,23_01_2021
7,7,21,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2,23_01_2021
8,5,4,Ed Sheeran,Afterglow,ATLANTIC,WARNER,5,23_01_2021
9,12,10,Ofenbach & Quarterhead feat. Norma JeanMartine,Head Shoulders Knees & Toes,SPINNIN',WARNER,9,23_01_2021
10,8,12,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,8,23_01_2021
11,11,20,Tate McRae,You Broke Me First,RCA,SONY,4,23_01_2021
12,10,7,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,10,23_01_2021
13,13,10,Regi & Camille,Vechter,DPG/INMEDIATE INT,CNR,7,23_01_2021
14,14,15,Bazart,Denk maar niet aan morgen,DEBONAIR,PIAS,11,23_01_2021
15,22,10,Netsky & Hybrid Minds,Let Me Hold You,541/NEWS,NEWS,15,23_01_2021
16,9,22,BTS,Dynamite,BIGHIT,SONY,5,23_01_2021
17,21,22,Miley Cyrus,Midnight Sky,RCA,SONY,6,23_01_2021
18,24,18,Rolf Sanchez,Más más más,TOP ACT,UNIVERSAL,8,23_01_2021
19,20,3,Justin Bieber,Anyone,DEF JAM,UNIVERSAL,19,23_01_2021
20,19,18,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,8,23_01_2021
21,29,11,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,14,23_01_2021
22,33,2,Shane Codd,Get Out My Head,POLYDOR,UNIVERSAL,22,23_01_2021
23,36,2,The Weeknd,Save Your Tears,REPUBLIC,UNIVERSAL,23,23_01_2021
24,15,19,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,11,23_01_2021
25,27,16,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,14,23_01_2021
26,41,2,Robin Schulz feat. Kiddo,All We Got,WARNER,WARNER,26,23_01_2021
27,16,13,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,6,23_01_2021
28,18,18,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,15,23_01_2021
29,17,10,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,10,23_01_2021
30,25,7,Lil Nas X,Holiday,COLUMBIA,SONY,9,23_01_2021
31,34,17,Regi & Camille,Vergeet de tijd,MOSTIKO,CNR,4,23_01_2021
32,42,4,Jason Derulo x Nuka,Love Not War (The TampaBeat),ROBOTS & HUMANS,SONY,32,23_01_2021
33,26,59,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1,23_01_2021
34,31,29,Banners,Someone To You,ISLAND,UNIVERSAL,8,23_01_2021
35,35,9,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,27,23_01_2021
36,32,13,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,14,23_01_2021
37,28,25,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),ELEKTRA,WARNER,1,23_01_2021
