#,VW,W,Artiest,Titel,Label,Distributeur,HP,fileDate
38,37,34,Harry Styles,Watermelon Sugar,COLUMBIA,SONY,2,23_01_2021
39,NEW,1,Sheppard,Learning To Fly,DECCA,UNIVERSAL,39,23_01_2021
40,40,3,Taylor Swift,Willow,REPUBLIC,UNIVERSAL,40,23_01_2021
41,44,11,Milow,First Day Of My Life,HOMERUN,SONY,28,23_01_2021
42,38,16,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,18,23_01_2021
43,43,18,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade,CAROLINE,UNIVERSAL,13,23_01_2021
44,NEW,1,HVME,Goosebumps,B1,SONY,44,23_01_2021
45,39,28,Zoe Wees,Control,CAROLINE,UNIVERSAL,6,23_01_2021
46,RE,2,Lissa Lewis,Regenboog meisje,MOSTIKO,CNR,46,23_01_2021
47,48,13,Keith Urban with P!nk,One Too Many,CAPITOL,UNIVERSAL,26,23_01_2021
48,NEW,1,Purple Disco Machine & Sophie And The Giants,Hypnotized,COLUMBIA,SONY,48,23_01_2021
49,RE,9,James Arthur,Train Wreck,COLUMBIA,SONY,41,23_01_2021
50,30,12,5napback & Metejoor,Hoe kon ik zo dom zijn,MOSTIKO,CNR,27,23_01_2021
1,1,8,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1,26_12_2020
2,2,11,Jaap Reesema & Pommelien Thijs,Nu wij niet meerpraten,MOSTIKO,CNR,2,26_12_2020
3,3,20,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,1,26_12_2020
4,4,17,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2,26_12_2020
5,5,16,Tate McRae,You Broke Me First,RCA,SONY,4,26_12_2020
6,16,4,Tiësto,The Business,ATLANTIC,WARNER,6,26_12_2020
7,8,18,BTS,Dynamite,BIGHIT,SONY,6,26_12_2020
8,7,6,Regi & Camille,Vechter,DPG/INMEDIATEINT,CNR,7,26_12_2020
9,20,3,Lil Nas X,Holiday,COLUMBIA,SONY,9,26_12_2020
10,9,14,Rolf Sanchez,Más más más,TOP ACT,UNIVERSAL,8,26_12_2020
11,6,9,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,6,26_12_2020
12,23,6,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees& Toes,SPINNIN',WARNER,12,26_12_2020
13,17,15,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,11,26_12_2020
14,10,6,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,10,26_12_2020
15,11,55,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1,26_12_2020
16,14,8,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,14,26_12_2020
17,19,12,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,14,26_12_2020
18,12,14,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,8,26_12_2020
19,22,21,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),ELEKTRA,WARNER,1,26_12_2020
20,18,14,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,15,26_12_2020
21,15,18,Miley Cyrus,Midnight Sky,RCA,SONY,6,26_12_2020
22,13,11,Bazart,Denk maar niet aanmorgen,DEBONAIR,PIAS,11,26_12_2020
23,21,13,Regi & Camille,Vergeet de tijd,MOSTIKO,CNR,4,26_12_2020
24,24,25,Banners,Someone To You,ISLAND,UNIVERSAL,8,26_12_2020
25,31,7,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,14,26_12_2020
26,25,9,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,14,26_12_2020
27,34,30,Harry Styles,Watermelon Sugar,COLUMBIA,SONY,2,26_12_2020
28,27,5,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,27,26_12_2020
29,30,6,Netsky & Hybrid Minds,Let Me Hold You,541/NEWS,NEWS,27,26_12_2020
30,35,24,Zoe Wees,Control,CAROLINE,UNIVERSAL,6,26_12_2020
31,29,14,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade,CAROLINE,UNIVERSAL,13,26_12_2020
32,26,12,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,18,26_12_2020
33,28,3,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,28,26_12_2020
34,33,2,Noordkaap & Warmste Koor,Ik hou van u 2020,NOORDKAAP,NOORDKAAP,33,26_12_2020
35,NEW,1,The Kid Laroi,Without You,COLUMBIA,SONY,35,26_12_2020
36,37,3,Dimitri Vegas & Like Mike x Armin van Buuren x BrennanHeart feat. Jeremy Oceans,Christmas Time,SMASH THEHOUSE,SMASH THEHOUSE,36,26_12_2020
37,47,12,Stan Van Samang,Don't Close Your Eyes,LIVEENTERTAINMENT,UNIVERSAL,28,26_12_2020
38,42,6,Harry Styles,Golden,COLUMBIA,SONY,38,26_12_2020
39,40,9,Keith Urban with P!nk,One Too Many,CAPITOL,UNIVERSAL,26,26_12_2020
40,32,12,Pop Smoke,What You Know BoutLove,REPUBLIC,TOPNOTCH/UNIVERSAL,26,26_12_2020
41,45,14,James Bay,Chew On My Heart,REPUBLIC,UNIVERSAL,36,26_12_2020
42,36,8,5napback & Metejoor,Hoe kon ik zo dom zijn,MOSTIKO,CNR,27,26_12_2020
43,41,7,Milow,First Day Of My Life,HOMERUN,SONY,28,26_12_2020
44,50,64,Tones And I,Dance Monkey,ELEKTRA,WARNER,1,26_12_2020
45,48,2,Lucas & Steve feat. Alida,Another Life,541/NEWS,NEWS,45,26_12_2020
46,44,6,James Arthur,Train Wreck,COLUMBIA,SONY,41,26_12_2020
47,49,27,Jawsh 685 & Jason Derulo,Savage Love (Laxed -Siren Beat),COLUMBIA,SONY,1,26_12_2020
48,46,2,CJ,Whoopty,CJ,WARNER,46,26_12_2020
49,38,14,Justin Bieber feat. Chance The Rapper,Holy,DEF JAM,UNIVERSAL,19,26_12_2020
50,39,5,Shawn Mendes / Justin Bieber,Monster,ISLAND,UNIVERSAL,35,26_12_2020
1,1,7,Olivia Rodrigo,Drivers License,GEFFEN,UNIVERSAL,1,27_02_2021
2,4,10,The Kid Laroi,Without You,COLUMBIA,SONY,2,27_02_2021
3,8,3,Nathan Evans,Wellerman,POLYDOR,UNIVERSAL,3,27_02_2021
4,5,7,The Weeknd,Save Your Tears,REPUBLIC,UNIVERSAL,4,27_02_2021
5,2,13,Tiësto,The Business,ATLANTIC,WARNER,2,27_02_2021
6,3,17,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1,27_02_2021
7,6,20,Jaap Reesema & Pommelien Thijs,Nu wij niet meer praten,MOSTIKO,CNR,1,27_02_2021
8,25,4,Metejoor feat. Babet,1 op een miljoen,FRUITY,CNR,8,27_02_2021
9,7,9,Ed Sheeran,Afterglow,ATLANTIC,WARNER,5,27_02_2021
10,10,12,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,10,27_02_2021
11,11,29,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,1,27_02_2021
12,9,15,Ofenbach & Quarterhead feat. Norma JeanMartine,Head Shoulders Knees & Toes,SPINNIN',SPINNIN',7,27_02_2021
13,14,7,Robin Schulz feat. Kiddo,All We Got,WARNER,WARNER,13,27_02_2021
14,16,6,HVME,Goosebumps,B1,SONY,14,27_02_2021
15,20,8,Justin Bieber,Anyone,DEF JAM,UNIVERSAL,15,27_02_2021
16,17,15,Regi & Camille,Vechter,DPG/INMEDIATE INT,CNR,7,27_02_2021
17,26,9,Jason Derulo x Nuka,Love Not War (The TampaBeat),ROBOTS & HUMANS,SONY,17,27_02_2021
18,NEW,1,Riton x Nightcrawlers feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit),MINISTRY OF SOUND,SONY,18,27_02_2021
19,12,20,Bazart,Denk maar niet aan morgen,DEBONAIR,PIAS,8,27_02_2021
20,15,15,Netsky & Hybrid Minds,Let Me Hold You,541/NEWS,NEWS,12,27_02_2021
21,18,25,Tate McRae,You Broke Me First,RCA,SONY,4,27_02_2021
22,21,26,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2,27_02_2021
23,13,16,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,13,27_02_2021
24,19,7,Shane Codd,Get Out My Head,POLYDOR,UNIVERSAL,16,27_02_2021
25,24,17,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,8,27_02_2021
26,31,6,Purple Disco Machine & Sophie And The Giants,Hypnotized,COLUMBIA,SONY,26,27_02_2021
27,22,5,atb x Topic x A7S,Your Love (9PM),RIDE,RIDE,22,27_02_2021
28,27,27,BTS,Dynamite,BIGHIT,SONY,5,27_02_2021
29,30,64,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1,27_02_2021
30,29,6,Sheppard,Learning To Fly,DECCA,UNIVERSAL,25,27_02_2021
31,28,21,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,14,27_02_2021
32,23,24,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,11,27_02_2021
33,38,12,Lil Nas X,Holiday,COLUMBIA,SONY,9,27_02_2021
34,32,34,Banners,Someone To You,ISLAND,UNIVERSAL,8,27_02_2021
35,35,14,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,27,27_02_2021
36,46,2,Dua Lipa,We're Good,WARNER,WARNER,36,27_02_2021
37,47,2,JC Stewart,Break My Heart,WARNER,WARNER,37,27_02_2021
38,34,15,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,10,27_02_2021
39,41,23,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,15,27_02_2021
40,NEW,1,Tom Grennan,Little Bit Of Love,INSANITY,SONY,40,27_02_2021
41,RE,2,Zoe Wees,Girls Like Us,CAPITOL,UNIVERSAL,41,27_02_2021
42,39,4,Stan Van Samang,Snow,LIVEENTERTAINMENT,UNIVERSAL,39,27_02_2021
43,36,18,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,6,27_02_2021
44,40,3,Celeste [UK],Love Is Back,POLYDOR,UNIVERSAL,40,27_02_2021
45,37,4,Maude [BE],Dance You Off,MOSTIKO,CNR,31,27_02_2021
46,43,27,Miley Cyrus,Midnight Sky,RCA,SONY,6,27_02_2021
47,42,3,Sara Kays,Remember That Night?,ATLANTIC,WARNER,42,27_02_2021
48,33,23,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,8,27_02_2021
49,NEW,1,Lil Tjay feat. 6lack,Calling My Phone,COLUMBIA,SONY,49,27_02_2021
50,NEW,1,Cleymans & Van Geel,En route,DPG/INMEDIATE INT,CNR,50,27_02_2021
1,2,16,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,1,28_11_2020
2,1,4,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1,28_11_2020
3,4,13,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2,28_11_2020
4,3,7,Jaap Reesema & Pommelien Thijs,Nu wij niet meer praten,MOSTIKO,CNR,3,28_11_2020
5,5,12,Tate McRae,You Broke Me First,RCA,SONY,4,28_11_2020
6,8,14,BTS,Dynamite,BIGHIT,SONY,6,28_11_2020
7,6,9,Regi & Camille,Vergeet de tijd,MOSTIKO,CNR,4,28_11_2020
8,11,10,Rolf Sanchez,Más más más,TOP ACT,UNIVERSAL,8,28_11_2020
9,9,10,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,8,28_11_2020
10,15,5,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,10,28_11_2020
11,26,2,Regi & Camille,Vechter,DPG/INMEDIATEINT,CNR,11,28_11_2020
12,13,2,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,12,28_11_2020
13,7,14,Miley Cyrus,Midnight Sky,RCA,SONY,6,28_11_2020
14,17,5,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,14,28_11_2020
15,12,17,Master KG feat. Burna Boy & NomceboZikode,Jerusalema (Remix),ELEKTRA,WARNER,1,28_11_2020
16,14,11,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,11,28_11_2020
17,16,10,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,16,28_11_2020
18,25,8,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,18,28_11_2020
19,20,8,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,17,28_11_2020
20,10,20,Zoe Wees,Control,CAROLINE,UNIVERSAL,6,28_11_2020
21,22,7,Bazart,Denk maar niet aan morgen,DEBONAIR,PIAS,17,28_11_2020
22,18,10,Internet Money & Gunna feat. Don Toliver &Nav,Lemonade,CAROLINE,UNIVERSAL,13,28_11_2020
23,39,4,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,23,28_11_2020
24,21,3,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,21,28_11_2020
25,29,26,Harry Styles,Watermelon Sugar,COLUMBIA,SONY,2,28_11_2020
26,24,51,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1,28_11_2020
27,19,21,Banners,Someone To You,ISLAND,UNIVERSAL,8,28_11_2020
28,38,8,Stan Van Samang,Don't Close Your Eyes,LIVEENTERTAINMENT,UNIVERSAL,28,28_11_2020
29,35,4,5napback & Metejoor,Hoe kon ik zo dom zijn,MOSTIKO,CNR,27,28_11_2020
30,28,3,Milow,First Day Of My Life,HOMERUN,SONY,28,28_11_2020
31,33,8,Pop Smoke,What You Know Bout Love,REPUBLIC,TOPNOTCH/UNIVERSAL,26,28_11_2020
32,NEW,1,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,32,28_11_2020
33,31,5,Keith Urban with P!nk,One Too Many,CAPITOL,UNIVERSAL,31,28_11_2020
34,34,35,Topic feat. A7S,Breaking Me,VIRGIN,UNIVERSAL,3,28_11_2020
35,27,23,Ava Max,Kings & Queens,ATLANTIC,WARNER,4,28_11_2020
36,30,10,Justin Bieber feat. Chance The Rapper,Holy,DEF JAM,UNIVERSAL,19,28_11_2020
37,32,3,Liefde Voor Muziek voor Rode Neuzen Dag,Porselein,DPG/INMEDIATEINT,CNR,32,28_11_2020
38,23,11,Kygo x Tina Turner,What's Love Got To Do With It,SONY,SONY,12,28_11_2020
39,48,2,Netsky & Hybrid Minds,Let Me Hold You,541/NEWS,NEWS,39,28_11_2020
40,41,2,Ofenbach & Quarterhead feat. Norma JeanMartine,Head Shoulders Knees & Toes,SPINNIN',WARNER,40,28_11_2020
41,45,3,James Arthur,Train Wreck,COLUMBIA,SONY,41,28_11_2020
42,40,14,Suzan & Freek / Snelle,De overkant,SONY/CLOUD 9,SONY,11,28_11_2020
43,36,24,Jawsh 685 & Jason Derulo,Savage Love (Laxed - SirenBeat),COLUMBIA,SONY,1,28_11_2020
44,44,7,Dua Lipa feat. DaBaby,Levitating,WARNER,WARNER,32,28_11_2020
45,43,10,James Bay,Chew On My Heart,REPUBLIC,UNIVERSAL,36,28_11_2020
46,NEW,1,Shawn Mendes / Justin Bieber,Monster,ISLAND,UNIVERSAL,46,28_11_2020
47,42,24,Ray Dalton,In My Bones,EPIC,SONY,13,28_11_2020
48,46,2,Harry Styles,Golden,COLUMBIA,SONY,46,28_11_2020
49,37,18,Aya Nakamura,Jolie nana,REC. 118,WARNER,8,28_11_2020
50,47,15,Taylor Swift feat. Bon Iver,Exile,REPUBLIC,UNIVERSAL,37,28_11_2020
1,1,3,Olivia Rodrigo,Drivers License,GEFFEN,UNIVERSAL,1,30_01_2021
2,4,9,Tiësto,The Business,ATLANTIC,WARNER,2,30_01_2021
3,3,16,Jaap Reesema & Pommelien Thijs,Nu wij niet meer praten,MOSTIKO,CNR,1,30_01_2021
4,5,6,The Kid Laroi,Without You,COLUMBIA,SONY,4,30_01_2021
5,2,13,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1,30_01_2021
6,8,5,Ed Sheeran,Afterglow,ATLANTIC,WARNER,5,30_01_2021
7,6,25,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,1,30_01_2021
8,7,22,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2,30_01_2021
9,9,11,Ofenbach & Quarterhead feat. Norma JeanMartine,Head Shoulders Knees & Toes,SPINNIN',SPINNIN',9,30_01_2021
10,12,8,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,10,30_01_2021
11,10,13,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,8,30_01_2021
12,11,21,Tate McRae,You Broke Me First,RCA,SONY,4,30_01_2021
13,15,11,Netsky & Hybrid Minds,Let Me Hold You,541/NEWS,NEWS,13,30_01_2021
14,16,23,BTS,Dynamite,BIGHIT,SONY,5,30_01_2021
15,14,16,Bazart,Denk maar niet aan morgen,DEBONAIR,PIAS,11,30_01_2021
16,23,3,The Weeknd,Save Your Tears,REPUBLIC,UNIVERSAL,16,30_01_2021
17,13,11,Regi & Camille,Vechter,DPG/INMEDIATE INT,CNR,7,30_01_2021
18,17,23,Miley Cyrus,Midnight Sky,RCA,SONY,6,30_01_2021
19,21,12,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,14,30_01_2021
20,18,19,Rolf Sanchez,Más más más,TOP ACT,UNIVERSAL,8,30_01_2021
21,19,4,Justin Bieber,Anyone,DEF JAM,UNIVERSAL,19,30_01_2021
22,26,3,Robin Schulz feat. Kiddo,All We Got,WARNER,WARNER,22,30_01_2021
23,24,20,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,11,30_01_2021
24,32,5,Jason Derulo x Nuka,Love Not War (The TampaBeat),ROBOTS & HUMANS,SONY,24,30_01_2021
25,27,14,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,6,30_01_2021
26,30,8,Lil Nas X,Holiday,COLUMBIA,SONY,9,30_01_2021
27,44,2,HVME,Goosebumps,B1,SONY,27,30_01_2021
28,20,19,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,8,30_01_2021
29,25,17,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,14,30_01_2021
30,22,3,Shane Codd,Get Out My Head,POLYDOR,UNIVERSAL,22,30_01_2021
31,29,11,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,10,30_01_2021
32,34,30,Banners,Someone To You,ISLAND,UNIVERSAL,8,30_01_2021
33,28,19,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,15,30_01_2021
34,39,2,Sheppard,Learning To Fly,DECCA,UNIVERSAL,34,30_01_2021
35,33,60,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1,30_01_2021
36,35,10,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,27,30_01_2021
37,NEW,1,atb x Topic x A7S,Your Love (9PM),RIDE,RIDE,37,30_01_2021
38,31,18,Regi & Camille,Vergeet de tijd,MOSTIKO,CNR,4,30_01_2021
39,37,26,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),ELEKTRA,WARNER,1,30_01_2021
40,38,35,Harry Styles,Watermelon Sugar,COLUMBIA,SONY,2,30_01_2021
41,40,4,Taylor Swift,Willow,REPUBLIC,UNIVERSAL,40,30_01_2021
42,36,14,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,14,30_01_2021
43,NEW,1,Billie Eilish / Rosalía,Lo vas a olvidar,INTERSCOPE,UNIVERSAL,43,30_01_2021
44,45,29,Zoe Wees,Control,CAROLINE,UNIVERSAL,6,30_01_2021
45,48,2,Purple Disco Machine & Sophie And The Giants,Hypnotized,COLUMBIA,SONY,45,30_01_2021
46,49,10,James Arthur,Train Wreck,COLUMBIA,SONY,41,30_01_2021
47,NEW,1,Henri PFR x Famba feat. Chiara Castelli,No One Knows,SPINNIN',SPINNIN',47,30_01_2021
48,50,13,5napback & Metejoor,Hoe kon ik zo dom zijn,MOSTIKO,CNR,27,30_01_2021
49,43,19,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade,CAROLINE,UNIVERSAL,13,30_01_2021
50,RE,4,Lucas & Steve feat. Alida,Another Life,541/NEWS,NEWS,45,30_01_2021
