#,-1,S,Artiste,Titre,Label,Distributeur,MP,fileDate
15,16,15,Kendji Girac feat. Gims,Dernier métro,DEF JAM,UNIVERSAL,13,09_01_2021
16,17,4,Indochine feat. Christine And The Queens,3Sex,RCA,SONY,16,09_01_2021
17,20,4,Lil Nas X,Holiday,COLUMBIA,SONY,17,09_01_2021
18,22,8,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,18,09_01_2021
19,14,12,Banners,Someone To You,ISLAND,UNIVERSAL,11,09_01_2021
20,23,20,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,3,09_01_2021
21,28,23,Amel Bent x Imen Es,Jusqu'au bout,DEF JAM,UNIVERSAL,6,09_01_2021
22,21,5,Kygo x Donna Summer,Hot Stuff,RCA,SONY,21,09_01_2021
23,24,4,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,23,09_01_2021
24,19,26,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),ELEKTRA,WARNER,1,09_01_2021
25,31,12,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,15,09_01_2021
26,29,7,Henri PFR x Famba feat. Chiara Castelli,No One Knows,SPINNIN',WARNER,26,09_01_2021
27,26,6,Maître Gims,Jusqu'ici tout va bien,PLAY TWO,SONY,21,09_01_2021
28,37,21,Sch - Kofs - Jul - Naps - Soso Maness - Elams - Solda -Houari,Bande organisée,RIEN 100 RIEN,PIAS,2,09_01_2021
29,18,37,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1,09_01_2021
30,35,6,HVME,Goosebumps,B1,SONY,30,09_01_2021
31,33,7,Maluma & The Weeknd,Hawái (Remix),SONY LATIN,SONY,27,09_01_2021
32,27,8,Kylie Minogue,Magic,BMG RIGHTS,WARNER/ADA,20,09_01_2021
33,38,4,Jul & Sch,Mother Fuck,D'OR ET DEPLATINE,PIAS,32,09_01_2021
34,25,12,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,18,09_01_2021
35,34,3,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,34,09_01_2021
36,36,13,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade,CAROLINE,UNIVERSAL,29,09_01_2021
37,32,4,Amir [FR],On verra bien,PARLOPHONE,WARNER,32,09_01_2021
38,40,8,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees &Toes,SPINNIN',WARNER,38,09_01_2021
39,41,29,Grand Corps Malade & Camille Lellouche,Mais je t'aime,CAROLINE,UNIVERSAL,12,09_01_2021
40,39,16,Naza feat. Niska,Joli bébé,CAPIROLESQUE,CAPIROLESQUE,17,09_01_2021
41,48,3,Shawn Mendes / Justin Bieber,Monster,ISLAND,UNIVERSAL,41,09_01_2021
42,30,2,Ed Sheeran,Afterglow,ATLANTIC,WARNER,30,09_01_2021
43,RE,11,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,26,09_01_2021
44,NEW,1,Robin Schulz feat. Kiddo,All We Got,WARNER,WARNER,44,09_01_2021
45,42,7,Mika & Soprano,Le cœur Holiday,REPUBLIC,UNIVERSAL,28,09_01_2021
46,44,28,Zoe Wees,Control,CAROLINE,UNIVERSAL,3,09_01_2021
47,RE,4,Eva [FR],Cœur noir,ALDAM,UNIVERSAL,32,09_01_2021
48,RE,5,Dua Lipa feat. DaBaby,Levitating,WARNER,WARNER,27,09_01_2021
49,RE,6,Aya Nakamura feat. Stormzy,Plus jamais,REC. 118,WARNER,36,09_01_2021
50,NEW,1,Bad Bunny x Jhay Cortez,Dákiti,RIMAS,RIMAS,50,09_01_2021
1,1,6,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1,12_12_2020
2,3,12,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,2,12_12_2020
3,2,14,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2,12_12_2020
4,7,11,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,4,12_12_2020
5,4,11,Vianney,Beau-papa,TOT OU TARD,PIAS,4,12_12_2020
6,9,19,Amel Bent x Imen Es,Jusqu'au bout,DEF JAM,UNIVERSAL,6,12_12_2020
7,11,7,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,7,12_12_2020
8,10,11,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,8,12_12_2020
9,6,12,Miley Cyrus,Midnight Sky,RCA,SONY,6,12_12_2020
10,12,14,Lucky Luke,Cooler Than Me,B1,SONY,8,12_12_2020
11,8,10,Clean Bandit and Mabel feat. 24kGoldn,Tick Tock,ATLANTIC,WARNER,8,12_12_2020
12,17,5,Julien Doré,Nous,COLUMBIA,SONY,12,12_12_2020
13,14,11,BTS,Dynamite,BIGHIT,SONY,8,12_12_2020
14,16,8,Banners,Someone To You,ISLAND,UNIVERSAL,11,12_12_2020
15,20,8,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,15,12_12_2020
16,19,8,Tate McRae,You Broke Me First,RCA,SONY,16,12_12_2020
17,15,11,Kendji Girac feat. Gims,Dernier métro,DEF JAM,UNIVERSAL,13,12_12_2020
18,23,5,Tiësto,The Business,ATLANTIC,WARNER,18,12_12_2020
19,5,16,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,3,12_12_2020
20,24,4,Kylie Minogue,Magic,BMG RIGHTS,WARNER/ADA,20,12_12_2020
21,18,13,Kygo x Tina Turner,What's Love Got To DoWith It,SONY,SONY,6,12_12_2020
22,22,17,Sch - Kofs - Jul - Naps - Soso Maness - Elams - Solda -Houari,Bande organisée,RIEN 100 RIEN,PIAS,2,12_12_2020
23,37,4,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,23,12_12_2020
24,25,8,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,24,12_12_2020
25,26,10,Justin Bieber feat. Chance The Rapper,Holy,DEF JAM,UNIVERSAL,18,12_12_2020
26,13,22,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),ELEKTRA,WARNER,1,12_12_2020
27,21,24,Zoe Wees,Control,CAROLINE,UNIVERSAL,3,12_12_2020
28,47,2,Maître Gims,Jusqu'ici tout va bien,PLAY TWO,SONY,28,12_12_2020
29,30,9,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade,CAROLINE,UNIVERSAL,29,12_12_2020
30,34,5,Alliel,Ce qui nous rend fous,PARLOPHONE,WARNER,30,12_12_2020
31,32,4,Mika & Soprano,Le cœur Holiday,REPUBLIC,UNIVERSAL,31,12_12_2020
32,NEW,1,Eva [FR],Cœur noir,ALDAM,UNIVERSAL,32,12_12_2020
33,31,12,Naza feat. Niska,Joli bébé,CAPIROLESQUE,CAPIROLESQUE,17,12_12_2020
34,36,3,Henri PFR x Famba feat. Chiara Castelli,No One Knows,SPINNIN',WARNER,34,12_12_2020
35,RE,33,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1,12_12_2020
36,29,9,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,26,12_12_2020
37,41,3,Aya Nakamura feat. Stormzy,Plus jamais,REC. 118,WARNER,36,12_12_2020
38,33,6,Dadju,Amour toxic,POLYDOR,UNIVERSAL,30,12_12_2020
39,NEW,1,Kygo x Donna Summer,Hot Stuff,RCA,SONY,39,12_12_2020
40,48,2,HVME,Goosebumps,B1,SONY,40,12_12_2020
41,44,25,Grand Corps Malade & Camille Lellouche,Mais je t'aime,CAROLINE,UNIVERSAL,12,12_12_2020
42,38,2,Twocolors,Lovefool,VIRGIN,UNIVERSAL,38,12_12_2020
43,46,4,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees &Toes,SPINNIN',WARNER,43,12_12_2020
44,NEW,1,Amir [FR],On verra bien,PARLOPHONE,WARNER,44,12_12_2020
45,27,2,Dinos feat. Nekfeu,Moins un,CAPITOL,UNIVERSAL,27,12_12_2020
46,42,3,Maluma & The Weeknd,Hawái (Remix),SONY LATIN,SONY,42,12_12_2020
47,NEW,1,M. Pokora,S'en aller,TF1,SONY,47,12_12_2020
48,39,6,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,37,12_12_2020
49,RE,41,SAINt JHN,Roses (Imanbek Remix),B1,SONY,1,12_12_2020
50,45,3,Dadju feat. Tiakola,Dieu merci,POLYDOR,UNIVERSAL,45,12_12_2020
1,1,15,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1,13_02_2021
2,3,14,Tiësto,The Business,ATLANTIC,WARNER,2,13_02_2021
3,4,17,Tate McRae,You Broke Me First,RCA,SONY,3,13_02_2021
4,15,8,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,4,13_02_2021
5,9,5,Black Eyed Peas x Shakira,Girl Like Me,EPIC,SONY,5,13_02_2021
6,11,4,Olivia Rodrigo,Drivers License,GEFFEN,UNIVERSAL,6,13_02_2021
7,10,10,Kygo x Donna Summer,Hot Stuff,RCA,SONY,7,13_02_2021
8,8,14,Julien Doré,Nous,COLUMBIA,SONY,7,13_02_2021
9,14,9,Indochine feat. Christine And The Queens,3Sex,RCA,SONY,8,13_02_2021
10,12,11,Maître Gims,Jusqu'ici tout va bien,PLAY TWO,SONY,10,13_02_2021
11,19,6,Robin Schulz feat. Kiddo,All We Got,WARNER,WARNER,11,13_02_2021
12,6,16,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,6,13_02_2021
13,16,9,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,13,13_02_2021
14,7,20,Vianney,Beau-papa,TOT OU TARD,PIAS,2,13_02_2021
15,31,3,The Weeknd,Save Your Tears,REPUBLIC,UNIVERSAL,15,13_02_2021
16,24,9,Lil Nas X,Holiday,COLUMBIA,SONY,16,13_02_2021
17,33,6,Ed Sheeran,Afterglow,ATLANTIC,WARNER,17,13_02_2021
18,18,11,HVME,Goosebumps,B1,SONY,18,13_02_2021
19,21,12,Henri PFR x Famba feat. Chiara Castelli,No One Knows,SPINNIN',SPINNIN',19,13_02_2021
20,22,4,Ava Max,My Head & My Heart,ATLANTIC,WARNER,20,13_02_2021
21,2,21,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,2,13_02_2021
22,30,3,Jason Derulo x Nuka,Love Not War (The Tampa Beat),ROBOTS & HUMANS,SONY,22,13_02_2021
23,26,4,Vitaa & Slimane,De l'or,DEF JAM,UNIVERSAL,23,13_02_2021
24,17,20,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,6,13_02_2021
25,NEW,1,Hamza feat. Zed,Réel,REC. 118,WARNER,25,13_02_2021
26,28,4,Grand Corps Malade,Pas essentiel,CAROLINE,UNIVERSAL,26,13_02_2021
27,20,17,Banners,Someone To You,ISLAND,UNIVERSAL,11,13_02_2021
28,5,20,BTS,Dynamite,BIGHIT,SONY,3,13_02_2021
29,29,19,Clean Bandit and Mabel feat. 24kGoldn,Tick Tock,ATLANTIC,WARNER,8,13_02_2021
30,NEW,1,Sch,Marché noir,REC. 118,WARNER,30,13_02_2021
31,13,23,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2,13_02_2021
32,32,4,Tones And I,Fly Away,ELEKTRA,WARNER,27,13_02_2021
33,RE,27,Amel Bent x Imen Es,Jusqu'au bout,DEF JAM,UNIVERSAL,6,13_02_2021
34,38,2,Sia,Courage To Change,ATLANTIC,WARNER,34,13_02_2021
35,41,2,Les Enfoirés,Maintenant,COLUMBIA,SONY,35,13_02_2021
36,34,5,Bad Bunny x Jhay Cortez,Dákiti,RIMAS,RIMAS,34,13_02_2021
37,40,3,The Kid Laroi,Without You,COLUMBIA,SONY,37,13_02_2021
38,37,9,Amir [FR],On verra bien,PARLOPHONE,WARNER,29,13_02_2021
39,36,6,Calogero,Celui d'en bas,POLYDOR,UNIVERSAL,36,13_02_2021
40,46,4,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,31,13_02_2021
41,39,3,Suarez,Céleste,LABEL ET LABET,PIAS,39,13_02_2021
42,35,13,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,14,13_02_2021
43,43,15,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,26,13_02_2021
44,48,12,Justin Bieber & Benny Blanco,Lonely,DEF JAM/INTERSCOPE,UNIVERSAL,37,13_02_2021
45,47,3,Amel Bent & Hatik,"1,2,3",DEF JAM,UNIVERSAL,39,13_02_2021
46,27,2,Booba,Ratpi World,CAPITOL,UNIVERSAL,27,13_02_2021
47,44,21,Miley Cyrus,Midnight Sky,RCA,SONY,6,13_02_2021
48,RE,2,Julie Zenatti,Paisiblement fou,VICTOR'S SONG,VICTOR'S SONG,48,13_02_2021
49,NEW,1,Riton x Nightcrawlers feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit),MINISTRY OF SOUND,SONY,49,13_02_2021
50,NEW,1,Ykons,Sequoia Trees,BLUE MILK,TEAM 4 ACTION,50,13_02_2021
1,1,2,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1,14_11_2020
2,2,10,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2,14_11_2020
3,4,12,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,3,14_11_2020
4,3,18,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),ELEKTRA,WARNER,1,14_11_2020
5,5,8,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,5,14_11_2020
6,6,15,Amel Bent x Imen Es,Jusqu'au bout,DEF JAM,UNIVERSAL,6,14_11_2020
7,9,7,Vianney,Beau-papa,TOT OU TARD,PIAS,7,14_11_2020
8,8,20,Zoe Wees,Control,CAROLINE,UNIVERSAL,3,14_11_2020
9,7,13,Sch - Kofs - Jul - Naps - Soso Maness - Elams -Solda - Houari,Bande organisée,RIEN 100 RIEN,PIAS,2,14_11_2020
10,10,10,Lucky Luke,Cooler Than Me,B1,SONY,9,14_11_2020
11,12,7,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,11,14_11_2020
12,21,8,Miley Cyrus,Midnight Sky,RCA,SONY,12,14_11_2020
13,16,7,BTS,Dynamite,BIGHIT,SONY,13,14_11_2020
14,26,3,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,14,14_11_2020
15,14,9,Kygo x Tina Turner,What's Love Got To DoWith It,SONY,SONY,6,14_11_2020
16,NEW,1,Booba,5G,CAPITOL,UNIVERSAL,16,14_11_2020
17,18,7,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,15,14_11_2020
18,25,6,Justin Bieber feat. Chance The Rapper,Holy,DEF JAM,UNIVERSAL,18,14_11_2020
19,13,7,Kendji Girac feat. Gims,Dernier métro,DEF JAM,UNIVERSAL,13,14_11_2020
20,24,5,Vitaa & Slimane,Ça ira,DEF JAM,UNIVERSAL,20,14_11_2020
21,22,6,Clean Bandit and Mabel feat. 24kGoldn,Tick Tock,ATLANTIC,WARNER,21,14_11_2020
22,23,8,Naza feat. Niska,Joli bébé,CAPIROLESQUE,CAPIROLESQUE,17,14_11_2020
23,31,13,Calogero,La rumeur,POLYDOR,UNIVERSAL,18,14_11_2020
24,28,4,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,24,14_11_2020
25,20,4,Tate McRae,You Broke Me First,RCA,SONY,20,14_11_2020
26,27,14,JC Stewart,I Need You To Hate Me,WARNER,WARNER,17,14_11_2020
27,33,4,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,27,14_11_2020
28,15,3,Koba LaD feat. Maes & Zed,Coffre plein,CAPITOL,UNIVERSAL,7,14_11_2020
29,19,4,Banners,Someone To You,ISLAND,UNIVERSAL,19,14_11_2020
30,11,16,Louane,Donne-moi ton cœur,MERCURY,UNIVERSAL,8,14_11_2020
31,32,5,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade,CAROLINE,UNIVERSAL,29,14_11_2020
32,30,5,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,30,14_11_2020
33,29,21,Grand Corps Malade & Camille Lellouche,Mais je t'aime,CAROLINE,UNIVERSAL,12,14_11_2020
34,47,3,Calvin Harris / The Weeknd,Over Now,COLUMBIA/REPUBLIC,SONY/UNIVERSAL,34,14_11_2020
35,34,3,Dua Lipa feat. DaBaby,Levitating,WARNER,WARNER,34,14_11_2020
36,36,22,Harry Styles,Watermelon Sugar,COLUMBIA,SONY,2,14_11_2020
37,44,2,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,37,14_11_2020
38,38,3,Pop Smoke,What You Know Bout Love,REPUBLIC,TOPNOTCH/UNIVERSAL,38,14_11_2020
39,37,13,Franglish feat. Tory Lanez,My Salsa,DEF JAM,UNIVERSAL,35,14_11_2020
40,NEW,1,Alliel,Ce qui nous rend fous,PARLOPHONE,WARNER,40,14_11_2020
41,48,20,Jawsh 685 & Jason Derulo,Savage Love (Laxed - SirenBeat),COLUMBIA,SONY,2,14_11_2020
42,49,19,Julien Doré,La fièvre,COLUMBIA,SONY,7,14_11_2020
43,35,25,DaBaby feat. Roddy Ricch,Rockstar,INTERSCOPE,TOPNOTCH/UNIVERSAL,9,14_11_2020
44,41,20,Amir [FR],La fête,PARLOPHONE,WARNER,9,14_11_2020
45,42,2,Dadju,Amour toxic,POLYDOR,UNIVERSAL,42,14_11_2020
46,NEW,1,Mika & Soprano,Le cœur Holiday,REPUBLIC,UNIVERSAL,46,14_11_2020
47,NEW,1,Julien Doré,Nous,COLUMBIA,SONY,47,14_11_2020
48,39,26,Dua Lipa,Break My Heart,WARNER,WARNER,8,14_11_2020
49,RE,5,Suarez feat. Maria Del Rio,Sarà perché ti amo,LABEL ET LABET,PIAS,33,14_11_2020
50,NEW,1,Tiësto,The Business,ATLANTIC,WARNER,50,14_11_2020
1,1,11,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1,16_01_2021
2,3,17,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,2,16_01_2021
3,5,16,Vianney,Beau-papa,TOT OU TARD,PIAS,3,16_01_2021
4,4,16,BTS,Dynamite,BIGHIT,SONY,4,16_01_2021
5,2,19,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2,16_01_2021
6,6,12,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,6,16_01_2021
7,7,16,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,6,16_01_2021
8,8,13,Tate McRae,You Broke Me First,RCA,SONY,8,16_01_2021
9,12,10,Tiësto,The Business,ATLANTIC,WARNER,9,16_01_2021
10,13,10,Julien Doré,Nous,COLUMBIA,SONY,10,16_01_2021
11,15,16,Kendji Girac feat. Gims,Dernier métro,DEF JAM,UNIVERSAL,11,16_01_2021
12,11,16,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,4,16_01_2021
13,10,15,Clean Bandit and Mabel feat. 24kGoldn,Tick Tock,ATLANTIC,WARNER,8,16_01_2021
14,19,13,Banners,Someone To You,ISLAND,UNIVERSAL,11,16_01_2021
15,16,5,Indochine feat. Christine And The Queens,3Sex,RCA,SONY,15,16_01_2021
16,9,19,Lucky Luke,Cooler Than Me,B1,SONY,8,16_01_2021
17,14,17,Miley Cyrus,Midnight Sky,RCA,SONY,6,16_01_2021
18,22,6,Kygo x Donna Summer,Hot Stuff,RCA,SONY,18,16_01_2021
19,23,5,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,19,16_01_2021
20,17,5,Lil Nas X,Holiday,COLUMBIA,SONY,17,16_01_2021
21,27,7,Maître Gims,Jusqu'ici tout va bien,PLAY TWO,SONY,21,16_01_2021
22,35,4,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,22,16_01_2021
23,18,9,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,18,16_01_2021
24,32,9,Kylie Minogue,Magic,BMG RIGHTS,WARNER/ADA,20,16_01_2021
25,26,8,Henri PFR x Famba feat. Chiara Castelli,No One Knows,SPINNIN',WARNER,25,16_01_2021
